"REF_DATE","GEO","DGUID","Area","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Canada","2016A000011124","Total greenhouse operations","Number","Number","223","units","0","v52220857","1.1.1","3476","","","","0"
"2007","Canada","2016A000011124","Total greenhouse area","Square feet","Square feet","279","units","0","v52220868","1.2.2","225953760","","","","0"
"2007","Canada","2016A000011124","Total greenhouse area","Square metres","Square metres","281","units","0","v52220879","1.2.3","20991782","","","","0"
"2007","Canada","2016A000011124","Glass","Square feet","Square feet","279","units","0","v52220890","1.3.2","69372860","","","","0"
"2007","Canada","2016A000011124","Glass","Square metres","Square metres","281","units","0","v52220901","1.3.3","6444947","","","","0"
"2007","Canada","2016A000011124","Rigid plastic","Square feet","Square feet","279","units","0","v52220912","1.4.2","156580900","","","","0"
"2007","Canada","2016A000011124","Rigid plastic","Square metres","Square metres","281","units","0","v52220923","1.4.3","14546835","","","","0"
"2007","Canada","2016A000011124","Poly-film","Square feet","Square feet","279","units","0","v52220934","1.5.2","0","","","","0"
"2007","Canada","2016A000011124","Poly-film","Square metres","Square metres","281","units","0","v52220945","1.5.3","0","","","","0"
"2007","Canada","2016A000011124","Total months of operation","Number","Number","223","units","0","v52220956","1.6.1","26270","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Total greenhouse operations","Number","Number","223","units","0","v52220847","2.1.1","60","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Total greenhouse area","Square feet","Square feet","279","units","0","v52220858","2.2.2","614100","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Total greenhouse area","Square metres","Square metres","281","units","0","v52220869","2.2.3","57052","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Glass","Square feet","Square feet","279","units","0","v52220880","2.3.2","8500","E","","","0"
"2007","Newfoundland and Labrador","2016A000210","Glass","Square metres","Square metres","281","units","0","v52220891","2.3.3","790","E","","","0"
"2007","Newfoundland and Labrador","2016A000210","Rigid plastic","Square feet","Square feet","279","units","0","v52220902","2.4.2","605600","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Rigid plastic","Square metres","Square metres","281","units","0","v52220913","2.4.3","56262","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Poly-film","Square feet","Square feet","279","units","0","v52220924","2.5.2","0","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Poly-film","Square metres","Square metres","281","units","0","v52220935","2.5.3","0","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Total months of operation","Number","Number","223","units","0","v52220946","2.6.1","365","","","","0"
"2007","Prince Edward Island","2016A000211","Total greenhouse operations","Number","Number","223","units","0","v52220848","3.1.1","20","","","","0"
"2007","Prince Edward Island","2016A000211","Total greenhouse area","Square feet","Square feet","279","units","0","v52220859","3.2.2","382100","","","","0"
"2007","Prince Edward Island","2016A000211","Total greenhouse area","Square metres","Square metres","281","units","0","v52220870","3.2.3","35498","","","","0"
"2007","Prince Edward Island","2016A000211","Glass","Square feet","Square feet","279","units","0","v52220881","3.3.2","","x","","","0"
"2007","Prince Edward Island","2016A000211","Glass","Square metres","Square metres","281","units","0","v52220892","3.3.3","","x","","","0"
"2007","Prince Edward Island","2016A000211","Rigid plastic","Square feet","Square feet","279","units","0","v52220903","3.4.2","","x","","","0"
"2007","Prince Edward Island","2016A000211","Rigid plastic","Square metres","Square metres","281","units","0","v52220914","3.4.3","","x","","","0"
"2007","Prince Edward Island","2016A000211","Poly-film","Square feet","Square feet","279","units","0","v52220925","3.5.2","0","","","","0"
"2007","Prince Edward Island","2016A000211","Poly-film","Square metres","Square metres","281","units","0","v52220936","3.5.3","0","","","","0"
"2007","Prince Edward Island","2016A000211","Total months of operation","Number","Number","223","units","0","v52220947","3.6.1","120","","","","0"
"2007","Nova Scotia","2016A000212","Total greenhouse operations","Number","Number","223","units","0","v52220849","4.1.1","116","","","","0"
"2007","Nova Scotia","2016A000212","Total greenhouse area","Square feet","Square feet","279","units","0","v52220860","4.2.2","2115000","","","","0"
"2007","Nova Scotia","2016A000212","Total greenhouse area","Square metres","Square metres","281","units","0","v52220871","4.2.3","196490","","","","0"
"2007","Nova Scotia","2016A000212","Glass","Square feet","Square feet","279","units","0","v52220882","4.3.2","645000","E","","","0"
"2007","Nova Scotia","2016A000212","Glass","Square metres","Square metres","281","units","0","v52220893","4.3.3","59922","E","","","0"
"2007","Nova Scotia","2016A000212","Rigid plastic","Square feet","Square feet","279","units","0","v52220904","4.4.2","1470000","","","","0"
"2007","Nova Scotia","2016A000212","Rigid plastic","Square metres","Square metres","281","units","0","v52220915","4.4.3","136567","","","","0"
"2007","Nova Scotia","2016A000212","Poly-film","Square feet","Square feet","279","units","0","v52220926","4.5.2","0","","","","0"
"2007","Nova Scotia","2016A000212","Poly-film","Square metres","Square metres","281","units","0","v52220937","4.5.3","0","","","","0"
"2007","Nova Scotia","2016A000212","Total months of operation","Number","Number","223","units","0","v52220948","4.6.1","720","","","","0"
"2007","New Brunswick","2016A000213","Total greenhouse operations","Number","Number","223","units","0","v52220850","5.1.1","82","","","","0"
"2007","New Brunswick","2016A000213","Total greenhouse area","Square feet","Square feet","279","units","0","v52220861","5.2.2","1795310","","","","0"
"2007","New Brunswick","2016A000213","Total greenhouse area","Square metres","Square metres","281","units","0","v52220872","5.2.3","166790","","","","0"
"2007","New Brunswick","2016A000213","Glass","Square feet","Square feet","279","units","0","v52220883","5.3.2","","x","","","0"
"2007","New Brunswick","2016A000213","Glass","Square metres","Square metres","281","units","0","v52220894","5.3.3","","x","","","0"
"2007","New Brunswick","2016A000213","Rigid plastic","Square feet","Square feet","279","units","0","v52220905","5.4.2","","x","","","0"
"2007","New Brunswick","2016A000213","Rigid plastic","Square metres","Square metres","281","units","0","v52220916","5.4.3","","x","","","0"
"2007","New Brunswick","2016A000213","Poly-film","Square feet","Square feet","279","units","0","v52220927","5.5.2","0","","","","0"
"2007","New Brunswick","2016A000213","Poly-film","Square metres","Square metres","281","units","0","v52220938","5.5.3","0","","","","0"
"2007","New Brunswick","2016A000213","Total months of operation","Number","Number","223","units","0","v52220949","5.6.1","480","","","","0"
"2007","Quebec","2016A000224","Total greenhouse operations","Number","Number","223","units","0","v52220851","6.1.1","800","","","","0"
"2007","Quebec","2016A000224","Total greenhouse area","Square feet","Square feet","279","units","0","v52220862","6.2.2","26762000","","","","0"
"2007","Quebec","2016A000224","Total greenhouse area","Square metres","Square metres","281","units","0","v52220873","6.2.3","2486270","","","","0"
"2007","Quebec","2016A000224","Glass","Square feet","Square feet","279","units","0","v52220884","6.3.2","2500000","","","","0"
"2007","Quebec","2016A000224","Glass","Square metres","Square metres","281","units","0","v52220895","6.3.3","232258","","","","0"
"2007","Quebec","2016A000224","Rigid plastic","Square feet","Square feet","279","units","0","v52220906","6.4.2","24262000","","","","0"
"2007","Quebec","2016A000224","Rigid plastic","Square metres","Square metres","281","units","0","v52220917","6.4.3","2254013","","","","0"
"2007","Quebec","2016A000224","Poly-film","Square feet","Square feet","279","units","0","v52220928","6.5.2","0","","","","0"
"2007","Quebec","2016A000224","Poly-film","Square metres","Square metres","281","units","0","v52220939","6.5.3","0","","","","0"
"2007","Quebec","2016A000224","Total months of operation","Number","Number","223","units","0","v52220950","6.6.1","5485","","","","0"
"2007","Ontario","2016A000235","Total greenhouse operations","Number","Number","223","units","0","v52220852","7.1.1","1200","","","","0"
"2007","Ontario","2016A000235","Total greenhouse area","Square feet","Square feet","279","units","0","v52220863","7.2.2","124000000","","","","0"
"2007","Ontario","2016A000235","Total greenhouse area","Square metres","Square metres","281","units","0","v52220874","7.2.3","11519972","","","","0"
"2007","Ontario","2016A000235","Glass","Square feet","Square feet","279","units","0","v52220885","7.3.2","34000000","","","","0"
"2007","Ontario","2016A000235","Glass","Square metres","Square metres","281","units","0","v52220896","7.3.3","3158702","","","","0"
"2007","Ontario","2016A000235","Rigid plastic","Square feet","Square feet","279","units","0","v52220907","7.4.2","90000000","","","","0"
"2007","Ontario","2016A000235","Rigid plastic","Square metres","Square metres","281","units","0","v52220918","7.4.3","8361270","","","","0"
"2007","Ontario","2016A000235","Poly-film","Square feet","Square feet","279","units","0","v52220929","7.5.2","0","","","","0"
"2007","Ontario","2016A000235","Poly-film","Square metres","Square metres","281","units","0","v52220940","7.5.3","0","","","","0"
"2007","Ontario","2016A000235","Total months of operation","Number","Number","223","units","0","v52220951","7.6.1","10200","","","","0"
"2007","Manitoba","2016A000246","Total greenhouse operations","Number","Number","223","units","0","v52220853","8.1.1","135","","","","0"
"2007","Manitoba","2016A000246","Total greenhouse area","Square feet","Square feet","279","units","0","v52220864","8.2.2","2938000","","","","0"
"2007","Manitoba","2016A000246","Total greenhouse area","Square metres","Square metres","281","units","0","v52220875","8.2.3","272949","","","","0"
"2007","Manitoba","2016A000246","Glass","Square feet","Square feet","279","units","0","v52220886","8.3.2","","x","","","0"
"2007","Manitoba","2016A000246","Glass","Square metres","Square metres","281","units","0","v52220897","8.3.3","","x","","","0"
"2007","Manitoba","2016A000246","Rigid plastic","Square feet","Square feet","279","units","0","v52220908","8.4.2","","x","","","0"
"2007","Manitoba","2016A000246","Rigid plastic","Square metres","Square metres","281","units","0","v52220919","8.4.3","","x","","","0"
"2007","Manitoba","2016A000246","Poly-film","Square feet","Square feet","279","units","0","v52220930","8.5.2","0","","","","0"
"2007","Manitoba","2016A000246","Poly-film","Square metres","Square metres","281","units","0","v52220941","8.5.3","0","","","","0"
"2007","Manitoba","2016A000246","Total months of operation","Number","Number","223","units","0","v52220952","8.6.1","855","","","","0"
"2007","Saskatchewan","2016A000247","Total greenhouse operations","Number","Number","223","units","0","v52220854","9.1.1","168","","","","0"
"2007","Saskatchewan","2016A000247","Total greenhouse area","Square feet","Square feet","279","units","0","v52220865","9.2.2","2532250","","","","0"
"2007","Saskatchewan","2016A000247","Total greenhouse area","Square metres","Square metres","281","units","0","v52220876","9.2.3","235254","","","","0"
"2007","Saskatchewan","2016A000247","Glass","Square feet","Square feet","279","units","0","v52220887","9.3.2","92250","","","","0"
"2007","Saskatchewan","2016A000247","Glass","Square metres","Square metres","281","units","0","v52220898","9.3.3","8570","","","","0"
"2007","Saskatchewan","2016A000247","Rigid plastic","Square feet","Square feet","279","units","0","v52220909","9.4.2","2440000","","","","0"
"2007","Saskatchewan","2016A000247","Rigid plastic","Square metres","Square metres","281","units","0","v52220920","9.4.3","226683","","","","0"
"2007","Saskatchewan","2016A000247","Poly-film","Square feet","Square feet","279","units","0","v52220931","9.5.2","0","","","","0"
"2007","Saskatchewan","2016A000247","Poly-film","Square metres","Square metres","281","units","0","v52220942","9.5.3","0","","","","0"
"2007","Saskatchewan","2016A000247","Total months of operation","Number","Number","223","units","0","v52220953","9.6.1","945","","","","0"
"2007","Alberta","2016A000248","Total greenhouse operations","Number","Number","223","units","0","v52220855","10.1.1","350","","","","0"
"2007","Alberta","2016A000248","Total greenhouse area","Square feet","Square feet","279","units","0","v52220866","10.2.2","11615000","","","","0"
"2007","Alberta","2016A000248","Total greenhouse area","Square metres","Square metres","281","units","0","v52220877","10.2.3","1079068","","","","0"
"2007","Alberta","2016A000248","Glass","Square feet","Square feet","279","units","0","v52220888","10.3.2","815000","E","","","0"
"2007","Alberta","2016A000248","Glass","Square metres","Square metres","281","units","0","v52220899","10.3.3","75716","E","","","0"
"2007","Alberta","2016A000248","Rigid plastic","Square feet","Square feet","279","units","0","v52220910","10.4.2","10800000","","","","0"
"2007","Alberta","2016A000248","Rigid plastic","Square metres","Square metres","281","units","0","v52220921","10.4.3","1003352","","","","0"
"2007","Alberta","2016A000248","Poly-film","Square feet","Square feet","279","units","0","v52220932","10.5.2","0","","","","0"
"2007","Alberta","2016A000248","Poly-film","Square metres","Square metres","281","units","0","v52220943","10.5.3","0","","","","0"
"2007","Alberta","2016A000248","Total months of operation","Number","Number","223","units","0","v52220954","10.6.1","2500","","","","0"
"2007","British Columbia","2016A000259","Total greenhouse operations","Number","Number","223","units","0","v52220856","11.1.1","545","","","","0"
"2007","British Columbia","2016A000259","Total greenhouse area","Square feet","Square feet","279","units","0","v52220867","11.2.2","53200000","","","","0"
"2007","British Columbia","2016A000259","Total greenhouse area","Square metres","Square metres","281","units","0","v52220878","11.2.3","4942440","","","","0"
"2007","British Columbia","2016A000259","Glass","Square feet","Square feet","279","units","0","v52220889","11.3.2","31200000","","","","0"
"2007","British Columbia","2016A000259","Glass","Square metres","Square metres","281","units","0","v52220900","11.3.3","2898574","","","","0"
"2007","British Columbia","2016A000259","Rigid plastic","Square feet","Square feet","279","units","0","v52220911","11.4.2","22000000","","","","0"
"2007","British Columbia","2016A000259","Rigid plastic","Square metres","Square metres","281","units","0","v52220922","11.4.3","2043866","","","","0"
"2007","British Columbia","2016A000259","Poly-film","Square feet","Square feet","279","units","0","v52220933","11.5.2","0","","","","0"
"2007","British Columbia","2016A000259","Poly-film","Square metres","Square metres","281","units","0","v52220944","11.5.3","0","","","","0"
"2007","British Columbia","2016A000259","Total months of operation","Number","Number","223","units","0","v52220955","11.6.1","4600","","","","0"
"2008","Canada","2016A000011124","Total greenhouse operations","Number","Number","223","units","0","v52220857","1.1.1","3295","","","","0"
"2008","Canada","2016A000011124","Total greenhouse area","Square feet","Square feet","279","units","0","v52220868","1.2.2","235106650","","","","0"
"2008","Canada","2016A000011124","Total greenhouse area","Square metres","Square metres","281","units","0","v52220879","1.2.3","21842113","","","","0"
"2008","Canada","2016A000011124","Glass","Square feet","Square feet","279","units","0","v52220890","1.3.2","76440550","","","","0"
"2008","Canada","2016A000011124","Glass","Square metres","Square metres","281","units","0","v52220901","1.3.3","7101556","","","","0"
"2008","Canada","2016A000011124","Rigid plastic","Square feet","Square feet","279","units","0","v52220912","1.4.2","22969200","","","","0"
"2008","Canada","2016A000011124","Rigid plastic","Square metres","Square metres","281","units","0","v52220923","1.4.3","2133908","","","","0"
"2008","Canada","2016A000011124","Poly-film","Square feet","Square feet","279","units","0","v52220934","1.5.2","135696900","","","","0"
"2008","Canada","2016A000011124","Poly-film","Square metres","Square metres","281","units","0","v52220945","1.5.3","12606649","","","","0"
"2008","Canada","2016A000011124","Total months of operation","Number","Number","223","units","0","v52220956","1.6.1","25781","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Total greenhouse operations","Number","Number","223","units","0","v52220847","2.1.1","50","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Total greenhouse area","Square feet","Square feet","279","units","0","v52220858","2.2.2","714325","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Total greenhouse area","Square metres","Square metres","281","units","0","v52220869","2.2.3","66363","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Glass","Square feet","Square feet","279","units","0","v52220880","2.3.2","","x","","","0"
"2008","Newfoundland and Labrador","2016A000210","Glass","Square metres","Square metres","281","units","0","v52220891","2.3.3","","x","","","0"
"2008","Newfoundland and Labrador","2016A000210","Rigid plastic","Square feet","Square feet","279","units","0","v52220902","2.4.2","","x","","","0"
"2008","Newfoundland and Labrador","2016A000210","Rigid plastic","Square metres","Square metres","281","units","0","v52220913","2.4.3","","x","","","0"
"2008","Newfoundland and Labrador","2016A000210","Poly-film","Square feet","Square feet","279","units","0","v52220924","2.5.2","628400","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Poly-film","Square metres","Square metres","281","units","0","v52220935","2.5.3","58380","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Total months of operation","Number","Number","223","units","0","v52220946","2.6.1","320","","","","0"
"2008","Prince Edward Island","2016A000211","Total greenhouse operations","Number","Number","223","units","0","v52220848","3.1.1","15","","","","0"
"2008","Prince Edward Island","2016A000211","Total greenhouse area","Square feet","Square feet","279","units","0","v52220859","3.2.2","270950","","","","0"
"2008","Prince Edward Island","2016A000211","Total greenhouse area","Square metres","Square metres","281","units","0","v52220870","3.2.3","25172","","","","0"
"2008","Prince Edward Island","2016A000211","Glass","Square feet","Square feet","279","units","0","v52220881","3.3.2","","x","","","0"
"2008","Prince Edward Island","2016A000211","Glass","Square metres","Square metres","281","units","0","v52220892","3.3.3","","x","","","0"
"2008","Prince Edward Island","2016A000211","Rigid plastic","Square feet","Square feet","279","units","0","v52220903","3.4.2","","x","","","0"
"2008","Prince Edward Island","2016A000211","Rigid plastic","Square metres","Square metres","281","units","0","v52220914","3.4.3","","x","","","0"
"2008","Prince Edward Island","2016A000211","Poly-film","Square feet","Square feet","279","units","0","v52220925","3.5.2","252300","","","","0"
"2008","Prince Edward Island","2016A000211","Poly-film","Square metres","Square metres","281","units","0","v52220936","3.5.3","23439","","","","0"
"2008","Prince Edward Island","2016A000211","Total months of operation","Number","Number","223","units","0","v52220947","3.6.1","84","","","","0"
"2008","Nova Scotia","2016A000212","Total greenhouse operations","Number","Number","223","units","0","v52220849","4.1.1","105","","","","0"
"2008","Nova Scotia","2016A000212","Total greenhouse area","Square feet","Square feet","279","units","0","v52220860","4.2.2","2078500","","","","0"
"2008","Nova Scotia","2016A000212","Total greenhouse area","Square metres","Square metres","281","units","0","v52220871","4.2.3","193099","","","","0"
"2008","Nova Scotia","2016A000212","Glass","Square feet","Square feet","279","units","0","v52220882","4.3.2","","F","","","0"
"2008","Nova Scotia","2016A000212","Glass","Square metres","Square metres","281","units","0","v52220893","4.3.3","","F","","","0"
"2008","Nova Scotia","2016A000212","Rigid plastic","Square feet","Square feet","279","units","0","v52220904","4.4.2","41700","","","","0"
"2008","Nova Scotia","2016A000212","Rigid plastic","Square metres","Square metres","281","units","0","v52220915","4.4.3","3874","","","","0"
"2008","Nova Scotia","2016A000212","Poly-film","Square feet","Square feet","279","units","0","v52220926","4.5.2","1411700","","","","0"
"2008","Nova Scotia","2016A000212","Poly-film","Square metres","Square metres","281","units","0","v52220937","4.5.3","131151","","","","0"
"2008","Nova Scotia","2016A000212","Total months of operation","Number","Number","223","units","0","v52220948","4.6.1","675","","","","0"
"2008","New Brunswick","2016A000213","Total greenhouse operations","Number","Number","223","units","0","v52220850","5.1.1","75","","","","0"
"2008","New Brunswick","2016A000213","Total greenhouse area","Square feet","Square feet","279","units","0","v52220861","5.2.2","1744025","","","","0"
"2008","New Brunswick","2016A000213","Total greenhouse area","Square metres","Square metres","281","units","0","v52220872","5.2.3","162025","","","","0"
"2008","New Brunswick","2016A000213","Glass","Square feet","Square feet","279","units","0","v52220883","5.3.2","","x","","","0"
"2008","New Brunswick","2016A000213","Glass","Square metres","Square metres","281","units","0","v52220894","5.3.3","","x","","","0"
"2008","New Brunswick","2016A000213","Rigid plastic","Square feet","Square feet","279","units","0","v52220905","5.4.2","","x","","","0"
"2008","New Brunswick","2016A000213","Rigid plastic","Square metres","Square metres","281","units","0","v52220916","5.4.3","","x","","","0"
"2008","New Brunswick","2016A000213","Poly-film","Square feet","Square feet","279","units","0","v52220927","5.5.2","1698300","","","","0"
"2008","New Brunswick","2016A000213","Poly-film","Square metres","Square metres","281","units","0","v52220938","5.5.3","157777","","","","0"
"2008","New Brunswick","2016A000213","Total months of operation","Number","Number","223","units","0","v52220949","5.6.1","465","","","","0"
"2008","Quebec","2016A000224","Total greenhouse operations","Number","Number","223","units","0","v52220851","6.1.1","740","","","","0"
"2008","Quebec","2016A000224","Total greenhouse area","Square feet","Square feet","279","units","0","v52220862","6.2.2","26936100","","","","0"
"2008","Quebec","2016A000224","Total greenhouse area","Square metres","Square metres","281","units","0","v52220873","6.2.3","2502444","","","","0"
"2008","Quebec","2016A000224","Glass","Square feet","Square feet","279","units","0","v52220884","6.3.2","3168100","","","","0"
"2008","Quebec","2016A000224","Glass","Square metres","Square metres","281","units","0","v52220895","6.3.3","294326","","","","0"
"2008","Quebec","2016A000224","Rigid plastic","Square feet","Square feet","279","units","0","v52220906","6.4.2","1886000","","","","0"
"2008","Quebec","2016A000224","Rigid plastic","Square metres","Square metres","281","units","0","v52220917","6.4.3","175215","","","","0"
"2008","Quebec","2016A000224","Poly-film","Square feet","Square feet","279","units","0","v52220928","6.5.2","21882000","","","","0"
"2008","Quebec","2016A000224","Poly-film","Square metres","Square metres","281","units","0","v52220939","6.5.3","2032903","","","","0"
"2008","Quebec","2016A000224","Total months of operation","Number","Number","223","units","0","v52220950","6.6.1","5240","","","","0"
"2008","Ontario","2016A000235","Total greenhouse operations","Number","Number","223","units","0","v52220852","7.1.1","1190","","","","0"
"2008","Ontario","2016A000235","Total greenhouse area","Square feet","Square feet","279","units","0","v52220863","7.2.2","135675700","","","","0"
"2008","Ontario","2016A000235","Total greenhouse area","Square metres","Square metres","281","units","0","v52220874","7.2.3","12604680","","","","0"
"2008","Ontario","2016A000235","Glass","Square feet","Square feet","279","units","0","v52220885","7.3.2","35275000","","","","0"
"2008","Ontario","2016A000235","Glass","Square metres","Square metres","281","units","0","v52220896","7.3.3","3277153","","","","0"
"2008","Ontario","2016A000235","Rigid plastic","Square feet","Square feet","279","units","0","v52220907","7.4.2","16882000","","","","0"
"2008","Ontario","2016A000235","Rigid plastic","Square metres","Square metres","281","units","0","v52220918","7.4.3","1568388","","","","0"
"2008","Ontario","2016A000235","Poly-film","Square feet","Square feet","279","units","0","v52220929","7.5.2","83518700","","","","0"
"2008","Ontario","2016A000235","Poly-film","Square metres","Square metres","281","units","0","v52220940","7.5.3","7759138","","","","0"
"2008","Ontario","2016A000235","Total months of operation","Number","Number","223","units","0","v52220951","7.6.1","10522","","","","0"
"2008","Manitoba","2016A000246","Total greenhouse operations","Number","Number","223","units","0","v52220853","8.1.1","125","","","","0"
"2008","Manitoba","2016A000246","Total greenhouse area","Square feet","Square feet","279","units","0","v52220864","8.2.2","3275100","","","","0"
"2008","Manitoba","2016A000246","Total greenhouse area","Square metres","Square metres","281","units","0","v52220875","8.2.3","304267","","","","0"
"2008","Manitoba","2016A000246","Glass","Square feet","Square feet","279","units","0","v52220886","8.3.2","1900","E","","","0"
"2008","Manitoba","2016A000246","Glass","Square metres","Square metres","281","units","0","v52220897","8.3.3","177","E","","","0"
"2008","Manitoba","2016A000246","Rigid plastic","Square feet","Square feet","279","units","0","v52220908","8.4.2","","F","","","0"
"2008","Manitoba","2016A000246","Rigid plastic","Square metres","Square metres","281","units","0","v52220919","8.4.3","","F","","","0"
"2008","Manitoba","2016A000246","Poly-film","Square feet","Square feet","279","units","0","v52220930","8.5.2","2972300","","","","0"
"2008","Manitoba","2016A000246","Poly-film","Square metres","Square metres","281","units","0","v52220941","8.5.3","276136","","","","0"
"2008","Manitoba","2016A000246","Total months of operation","Number","Number","223","units","0","v52220952","8.6.1","750","","","","0"
"2008","Saskatchewan","2016A000247","Total greenhouse operations","Number","Number","223","units","0","v52220854","9.1.1","145","","","","0"
"2008","Saskatchewan","2016A000247","Total greenhouse area","Square feet","Square feet","279","units","0","v52220865","9.2.2","2237350","","","","0"
"2008","Saskatchewan","2016A000247","Total greenhouse area","Square metres","Square metres","281","units","0","v52220876","9.2.3","207857","","","","0"
"2008","Saskatchewan","2016A000247","Glass","Square feet","Square feet","279","units","0","v52220887","9.3.2","78000","","","","0"
"2008","Saskatchewan","2016A000247","Glass","Square metres","Square metres","281","units","0","v52220898","9.3.3","7246","","","","0"
"2008","Saskatchewan","2016A000247","Rigid plastic","Square feet","Square feet","279","units","0","v52220909","9.4.2","222350","","","","0"
"2008","Saskatchewan","2016A000247","Rigid plastic","Square metres","Square metres","281","units","0","v52220920","9.4.3","20657","","","","0"
"2008","Saskatchewan","2016A000247","Poly-film","Square feet","Square feet","279","units","0","v52220931","9.5.2","1937000","","","","0"
"2008","Saskatchewan","2016A000247","Poly-film","Square metres","Square metres","281","units","0","v52220942","9.5.3","179953","","","","0"
"2008","Saskatchewan","2016A000247","Total months of operation","Number","Number","223","units","0","v52220953","9.6.1","825","","","","0"
"2008","Alberta","2016A000248","Total greenhouse operations","Number","Number","223","units","0","v52220855","10.1.1","335","","","","0"
"2008","Alberta","2016A000248","Total greenhouse area","Square feet","Square feet","279","units","0","v52220866","10.2.2","10419000","","","","0"
"2008","Alberta","2016A000248","Total greenhouse area","Square metres","Square metres","281","units","0","v52220877","10.2.3","967956","","","","0"
"2008","Alberta","2016A000248","Glass","Square feet","Square feet","279","units","0","v52220888","10.3.2","820350","","","","0"
"2008","Alberta","2016A000248","Glass","Square metres","Square metres","281","units","0","v52220899","10.3.3","76213","","","","0"
"2008","Alberta","2016A000248","Rigid plastic","Square feet","Square feet","279","units","0","v52220910","10.4.2","1221250","","","","0"
"2008","Alberta","2016A000248","Rigid plastic","Square metres","Square metres","281","units","0","v52220921","10.4.3","113458","","","","0"
"2008","Alberta","2016A000248","Poly-film","Square feet","Square feet","279","units","0","v52220932","10.5.2","8377400","","","","0"
"2008","Alberta","2016A000248","Poly-film","Square metres","Square metres","281","units","0","v52220943","10.5.3","778286","","","","0"
"2008","Alberta","2016A000248","Total months of operation","Number","Number","223","units","0","v52220954","10.6.1","2400","","","","0"
"2008","British Columbia","2016A000259","Total greenhouse operations","Number","Number","223","units","0","v52220856","11.1.1","515","","","","0"
"2008","British Columbia","2016A000259","Total greenhouse area","Square feet","Square feet","279","units","0","v52220867","11.2.2","51755600","","","","0"
"2008","British Columbia","2016A000259","Total greenhouse area","Square metres","Square metres","281","units","0","v52220878","11.2.3","4808251","","","","0"
"2008","British Columbia","2016A000259","Glass","Square feet","Square feet","279","units","0","v52220889","11.3.2","36436800","","","","0"
"2008","British Columbia","2016A000259","Glass","Square metres","Square metres","281","units","0","v52220900","11.3.3","3385088","","","","0"
"2008","British Columbia","2016A000259","Rigid plastic","Square feet","Square feet","279","units","0","v52220911","11.4.2","2300000","","","","0"
"2008","British Columbia","2016A000259","Rigid plastic","Square metres","Square metres","281","units","0","v52220922","11.4.3","213677","","","","0"
"2008","British Columbia","2016A000259","Poly-film","Square feet","Square feet","279","units","0","v52220933","11.5.2","13018800","","","","0"
"2008","British Columbia","2016A000259","Poly-film","Square metres","Square metres","281","units","0","v52220944","11.5.3","1209486","","","","0"
"2008","British Columbia","2016A000259","Total months of operation","Number","Number","223","units","0","v52220955","11.6.1","4500","","","","0"
"2009","Canada","2016A000011124","Total greenhouse operations","Number","Number","223","units","0","v52220857","1.1.1","3335","","","","0"
"2009","Canada","2016A000011124","Total greenhouse area","Square feet","Square feet","279","units","0","v52220868","1.2.2","240666535","","","","0"
"2009","Canada","2016A000011124","Total greenhouse area","Square metres","Square metres","281","units","0","v52220879","1.2.3","22358643","","","","0"
"2009","Canada","2016A000011124","Glass","Square feet","Square feet","279","units","0","v52220890","1.3.2","81230580","","","","0"
"2009","Canada","2016A000011124","Glass","Square metres","Square metres","281","units","0","v52220901","1.3.3","7546565","","","","0"
"2009","Canada","2016A000011124","Rigid plastic","Square feet","Square feet","279","units","0","v52220912","1.4.2","16072650","","","","0"
"2009","Canada","2016A000011124","Rigid plastic","Square metres","Square metres","281","units","0","v52220923","1.4.3","1493197","","","","0"
"2009","Canada","2016A000011124","Poly-film","Square feet","Square feet","279","units","0","v52220934","1.5.2","143363305","","","","0"
"2009","Canada","2016A000011124","Poly-film","Square metres","Square metres","281","units","0","v52220945","1.5.3","13318881","","","","0"
"2009","Canada","2016A000011124","Total months of operation","Number","Number","223","units","0","v52220956","1.6.1","24876","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Total greenhouse operations","Number","Number","223","units","0","v52220847","2.1.1","50","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Total greenhouse area","Square feet","Square feet","279","units","0","v52220858","2.2.2","743150","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Total greenhouse area","Square metres","Square metres","281","units","0","v52220869","2.2.3","69041","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Glass","Square feet","Square feet","279","units","0","v52220880","2.3.2","","F","","","0"
